log_id,customer_id,chat_text,sentiment_label,keywords_detected
LOG00001,CUST09219,What are the current interest rates for savings accounts?,neutral,
LOG00002,CUST08515,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00003,CUST08070,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00004,CUST09985,"Poor service, I have been waiting for days with no response.",negative,poor service
LOG00005,CUST04760,"Great customer service, very helpful team.",positive,
LOG00006,CUST00026,What are the current interest rates for savings accounts?,neutral,
LOG00007,CUST00393,"Thank you, the issue has been resolved quickly.",positive,
LOG00008,CUST01933,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00009,CUST03397,What documents are needed for a loan application?,neutral,
LOG00010,CUST06784,Account blocked again. This is the third time this month.,negative,blocked
LOG00011,CUST05469,I cannot access my account – it seems blocked.,negative,blocked
LOG00012,CUST09182,I need to know the branch hours.,neutral,
LOG00013,CUST00186,My card was charged twice and no one is fixing it.,negative,
LOG00014,CUST04615,My card was charged twice and no one is fixing it.,negative,
LOG00015,CUST01112,I need to know the branch hours.,neutral,
LOG00016,CUST04920,I need to know the branch hours.,neutral,
LOG00017,CUST00101,Why is my loan application still pending? Terrible process.,negative,
LOG00018,CUST05461,How do I update my contact details?,neutral,
LOG00019,CUST06489,I love the new mobile app features.,positive,
LOG00020,CUST02878,I cannot access my account – it seems blocked.,negative,blocked
LOG00021,CUST05416,"Great customer service, very helpful team.",positive,
LOG00022,CUST07850,I need to know the branch hours.,neutral,
LOG00023,CUST00583,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00024,CUST07889,"Poor service, I have been waiting for days with no response.",negative,poor service
LOG00025,CUST07547,"Great customer service, very helpful team.",positive,
LOG00026,CUST07578,Why is my loan application still pending? Terrible process.,negative,
LOG00027,CUST00918,Account blocked again. This is the third time this month.,negative,blocked
LOG00028,CUST09257,I am very unhappy with how my complaint was handled.,negative,
LOG00029,CUST05170,My account was unblocked promptly. Happy with the service.,positive,blocked
LOG00030,CUST08780,Please send me my account statement.,neutral,
LOG00031,CUST03413,"Thank you, the issue has been resolved quickly.",positive,
LOG00032,CUST05435,"Excellent experience overall, keep it up.",positive,
LOG00033,CUST01085,I need to know the branch hours.,neutral,
LOG00034,CUST04596,"Great customer service, very helpful team.",positive,
LOG00035,CUST05557,How do I update my contact details?,neutral,
LOG00036,CUST08754,Can I increase my credit limit?,neutral,
LOG00037,CUST09355,"Great customer service, very helpful team.",positive,
LOG00038,CUST06383,Please send me my account statement.,neutral,
LOG00039,CUST09752,"Great customer service, very helpful team.",positive,
LOG00040,CUST05051,How do I update my contact details?,neutral,
LOG00041,CUST05153,My account was unblocked promptly. Happy with the service.,positive,blocked
LOG00042,CUST04449,I cannot access my account – it seems blocked.,negative,blocked
LOG00043,CUST01423,Account blocked again. This is the third time this month.,negative,blocked
LOG00044,CUST03894,Fraud alert – someone withdrew money without my permission.,negative,fraud
LOG00045,CUST07405,Why is my loan application still pending? Terrible process.,negative,
LOG00046,CUST03542,I am very unhappy with how my complaint was handled.,negative,
LOG00047,CUST02868,I am very unhappy with how my complaint was handled.,negative,
LOG00048,CUST06132,"There is a fraud transaction on my account, please help.",negative,fraud
LOG00049,CUST03312,How do I update my contact details?,neutral,
LOG00050,CUST07271,How do I update my contact details?,neutral,
LOG00051,CUST00409,Please send me my account statement.,neutral,
LOG00052,CUST08193,Fraud alert – someone withdrew money without my permission.,negative,fraud
